GO_ID	symbol
GO:0007158	NRXN3
GO:0007158	NRXN1
GO:0007158	NRXN2
GO:0007158	NLGN1
GO:0007158	ASTN1
GO:0007158	NCAM2
GO:0007158	ASTN2
GO:0007158	ITGB2
GO:0007158	RET
GO:0007158	ITGAL
GO:0007158	CDK5R1
GO:0007158	KIAA0921
GO:0007158	CNTN4
GO:0007158	NLGN4X
GO:0007158	NLGN4Y
GO:0007158	NLGN2
GO:0007158	NLGN3
GO:0007158	NINJ2
GO:0007158	ICAM5
GO:0007409	DSCAM
GO:0007409	SLIT2
GO:0007409	ROBO1
GO:0007409	CDK5
GO:0007409	HEL-S-7a
GO:0007409	GDNF
GO:0007409	GDI1
GO:0007409	JUP
GO:0007409	STK11
GO:0007409	A0A0U2ZQU7
GO:0007409	SPAST
GO:0007409	A0A384N611
GO:0007409	VEGFA
GO:0007409	SEMA7A
GO:0007409	ROBO2
GO:0007409	ULK1
GO:0007409	NRP1
GO:0007409	DRAXIN
GO:0007409	SEMA4D
GO:0007409	SEMA3A
GO:0007409	SEMA3F
GO:0007409	PLXNA3
GO:0007409	SHTN1
GO:0007409	POTEF
GO:0007409	SLIT1
GO:0007409	A8K4T0
GO:0007409	A8K9V7
GO:0007409	B4DVQ1
GO:0007409	B4DYX2
GO:0007409	NRP2
GO:0007409	ATOH7
GO:0007409	ROBO3
GO:0007409	PTPRS
GO:0007409	DCC
GO:0007409	APBB1
GO:0007409	PGRMC1
GO:0007409	O00364
GO:0007409	NTN3
GO:0007409	NFIB
GO:0007409	WNT7A
GO:0007409	ISLR
GO:0007409	ADGRB1
GO:0007409	PLXNB2
GO:0007409	SEMA3E
GO:0007409	DCLK1
GO:0007409	EPHB6
GO:0007409	PLA2G10
GO:0007409	PLXNB1
GO:0007409	SIPA1L1
GO:0007409	MAP3K13
GO:0007409	B4GALT5
GO:0007409	SSNA1
GO:0007409	NRDC
GO:0007409	EFNA2
GO:0007409	KALRN
GO:0007409	KIF5C
GO:0007409	TRAK2
GO:0007409	PLXNC1
GO:0007409	GFRA3
GO:0007409	OPHN1
GO:0007409	SHOX2
