priority,category,short_name,citation,year,journal,doi_or_pmid,data_type,has_human_primary_tissue,has_human_met_tissue,met_sites,n_patients,n_samples_approx,patient_matched_primary_met,access,notes
A,primary_plus_distant_met,AURORA_US,Garcia-Recio et al.,2023,Nature Cancer,10.1038/s43018-022-00491-x,RNA-seq; WES; low-pass WGS; methylation,yes,yes,liver 28; lung 13; LN 12; brain 11; bone and ~16 other,55,51 primary + 102 mets,yes (many pairs; 20 autopsy multi-site),GEO GSE209998 / GSE212375; dbGaP phs002622; TCIA images,Best public multi-site bulk RNA with primaries and distant mets; no proteomics
A,primary_plus_distant_met,UNC_RAP_Siegel,Siegel et al.,2018,J Clin Invest,10.1172/JCI96153,RNA-seq; WES,yes,yes,liver; lung; brain; other (2-7 mets per patient),16,16 primary + 67 mets,yes,GEO GSE110590; RAP+normal GSE193103; dbGaP phs000676,Expression clusters by patient more than by organ
A,primary_plus_distant_met,AURORA_EU,Aftimos et al.,2021,Cancer Discovery,10.1158/2159-8290.CD-20-1647,targeted DNA; RNA-seq,yes,yes,annotated biopsy site (liver; bone; lung; LN; skin; other),381,152 RNA-seq pairs; 252 TGS pairs,yes,request https://aurora-ctc.hubruxelles.be/ RNA.zip,Largest paired RNA-seq; application required
A,primary_plus_brain,Cosgrove_Vareslija_2022,Cosgrove Vareslija et al.,2022,Nature Communications,10.1038/s41467-022-27987-5,exome-capture RNA-seq; WES subset,yes,yes,brain,45,90 tumors,yes,GEO GSE184869; processed also GSE173661,Subtype-specific BCBM programs; HRD in brain mets
A,primary_plus_brain,Vareslija_2019,Vareslija et al.,2019,JNCI,10.1093/jnci/djy110,TruSeq RNA-seq,yes,yes,brain,21,42 tumors,yes,paper supplement / related to later GEO,Earlier 21-pair RNA-seq; RET/HER2
A,primary_plus_lung,Sinn_lung_pleura,Sinn et al.,2020,JCO Precis Oncol,10.1200/PO.19.00337,NanoString 269 genes + PAM50,yes,yes,lung; pleura,57,57 pairs,yes,GEO GSE145752,Not genome-wide RNA-seq
A,primary_plus_distant_met,Cejalvo_ConvertHER,Cejalvo et al.,2017,Cancer Research,10.1158/0008-5472.CAN-16-2479,NanoString PAM50,yes,yes,skin 35; LN 24; liver 20; bone 16; lung 7; ovary/peritoneum 7; pleura 6; brain rare,123,123 pairs,yes,GEO GSE92977,Subset later RNA-seq'd into AURORA US combined cohort
A,primary_plus_brain_protein,JCO2025_BCBM_DIA,JCO abstract 1050,2025,J Clin Oncol (suppl),10.1200/jco.2025.43.16_suppl.1050,DIA proteomics,yes,yes,brain,21,paired primary + BCBM,yes,abstract; PRIDE pending,9430 protein groups; 692 DEPs; CRYAB/ECM
A,primary_plus_brain_protein,PXD073600_TNBC_brain,ProteomeXchange PXD073600,NA,dataset,PXD073600,proteomics,yes,yes,brain,check sample table,TNBC primary + paired brain mets,yes,iProX/PRIDE PXD073600,Verify human paired tissue table before use
B,primary_plus_LN_protein,Pozniak_Geiger,Pozniak Geiger et al.,2016,Cell Systems,10.1016/j.cels.2016.02.001,super-SILAC MS proteomics,yes,yes,lymph node only,88 samples,primary +/- LN; matched LN mets; normal epithelium,yes (12 matched pairs cluster),PRIDE PXD000815,>10000 proteins; LN mets almost identical to matched primary
B,primary_plus_LN_protein,Franco_PXD012431,Franco et al.,2019,Data in Brief,10.1016/j.dib.2019.104125,label-free nLC-MS/MS,yes,yes,axillary LN,clinical cohort,PT; LN; contralateral; adjacent,yes,PRIDE PXD012431,PT vs LN plus non-tumor breast
B,primary_plus_LN_protein,Milioli_2DE,Milioli et al.,2015,OMICS,PMID literature,2DE-MS,yes,yes,lymph node,7,7 pairs,yes,paper tables,Small historical cohort
C,met_biopsy_multi_organ,BrasoMaristany_GSE175692,Brasó-Maristany et al.,2022,Molecular Oncology,10.1002/1878-0261.13021,NanoString BC360 771 genes,limited (7 de novo primary biopsies),yes,11 organs including liver lung brain bone,176,184 mets,mostly unpaired,GEO GSE175692,Organ effect smaller than PAM50; lung immune > brain/liver
C,met_only_microarray,Zhang_GSE14020,Zhang Massagué et al.,2009,Cancer Cell,PMID 19573813,Affymetrix microarray,no,yes,lung; brain; bone; liver,NA,58 mets,no,GEO GSE14020 (GSE14017/GSE14018),Metastases only; no primaries
C,met_pan_cancer,MET500,Robinson et al.,2017,Nature,10.1038/nature23306,WES + RNA-seq,no (not BRCA-paired),yes,breast mets; liver enriched; lung/bone sparse,500 mixed cancers,breast subset,no,dbGaP phs000673,Not a paired BRCA primary-met resource
D,single_cell_spatial,Klughammer_HTAN,Klughammer et al.,2024,Nature Medicine,10.1038/s41591-024-03215-z,sc/snRNA-seq; spatial RNA/protein,limited (7 breast biopsies after MBC diagnosis),yes,liver 37; axilla 9; bone 5; lung 1; brain 1,60,67 biopsies,limited,HTAN / CELLxGENE,Largest clinical MBC single-cell/spatial map
D,single_patient_spatial,Labrie_SMMART,Labrie et al.,2022,Cell Reports Medicine,10.1016/j.xcrm.2022.100525,DNA; RNA; protein; spatial imaging,yes (n=1),yes,liver serial; bone,1,primary + 4 mets over 3.5y,yes,HTAN,Case study only
D,scRNA_ST_LN,GSE225600_Liu_Yu_Shao,Liu Yu Shao et al.,2023,Advanced Science,GSE225600,scRNA + Visium,yes,yes,lymph node,4,primary + paired LN,yes,GEO GSE225600,FUSCC; corresponding Ke-Da Yu; Shao coauthor; LN not distant organs
F,FUSCC_Shao_Yu_LN_multiomics,Zhai_Yu_Shao_ProteinCell,Zhai Yu Shao et al.,2026,Protein & Cell,10.1093/procel/pwag002,WES; RNA-seq; TMT proteome; phosphoproteome,yes,yes,axillary LN only,65,195 (primary + NAT + Met.LN),yes,paper supplements; ProteomeXchange TBD,Shao author; corresponding Yu/Tan/Jin; Jiang Yizhou not an author; proteome not transcriptome drives LN met
F,FUSCC_Jiang_Shao_met_DNA,Zhu_Jiang_Shao_JCI_PKD1,Zhu Jiang Shao Wang et al.,2025,J Clin Invest,10.1172/JCI188989,484-gene targeted DNA (not RNA/protein),yes (105 paired validation),yes,LN 213 events; lung 142; bone 129; liver 99; chest wall 93; biopsies mainly LN/liver/lung/chest wall,296 mets + 105 pairs,296 sequenced mets,partial,NODE OEZ00021764 OEZ00021765,Jiang/Shao corresponding; RNA-seq only in mouse/cell experiments
F,FUSCC_Jiang_Shao_FUTURE,Jiang_Shao_FUTURE,Jiang Shao et al.,2021,Cell Research,10.1038/s41422-020-0375-9,IHC subtype + 484-gene panel,limited,yes,LN; lung; liver; bone; chest wall; breast biopsies,refractory mTNBC trial,one met biopsy per patient,no RNA/protein,NCT03805399,Metastatic tissue present but not RNA/proteomics
F,FUSCC_Jiang_Shao_IHC_subtype,Zhu_Jiang_Shao_CBM2024,Zhu Jiang Shao et al.,2024,Cancer Biology & Medicine,10.20892/j.issn.2095-3941.2024.0009,IHC AR/CD8/FOXC1,yes,yes,paired mets (40 pairs); MES associated with brain tropism,880 (465 eTNBC + 415 mTNBC),40 matched pairs,yes for IHC,request from authors,Not transcriptome/MS proteome
F,FUSCC_primary_only,Jiang_Shao_CancerCell2019_TNBC,Jiang Shao et al.,2019,Cancer Cell,10.1016/j.ccell.2019.02.001,WES; CNA; RNA-seq,yes,no,follow-up relapse in 65/465,465 primary TNBC,360 RNA-seq,no,GSE118527 OncoScan; SRA WES/RNA,Do not treat as metastatic tissue
F,FUSCC_primary_only,CBCGA_Jiang_Shao_NatCancer2024,Jiang Shao et al.,2024,Nature Cancer,10.1038/s43018-024-00725-0,WGS/WES; RNA-seq 752; proteomics 278; metabolomics,yes,no,NA,773 Chinese primaries,primaries,no,paper resource,Largest Asian primary multiomics; not a met atlas
F,FUSCC_primary_only,FUSCC_BRCA_CancerCell2024,Ma Jiang Shao et al.,2024,Cancer Cell,10.1016/j.ccell.2024.03.006,WES; RNA-seq 842; TMT 261,yes,no,NA,873 Asian primaries,primaries,no,paper resource,Primary tumors
F,FUSCC_primary_only,Gong_TNBC_proteome,Gong Jiang Shao et al.,2022,Cell Reports,10.1016/j.celrep.2022.110460,proteome; phosphoproteome,yes,no,NA,90 TNBC primaries,primaries,no,paper resource,Primary TNBC proteomics
F,FUSCC_other_lab_brain,NDUFB9_Zhang_Hu_FUSCC,Lin Zhang Hu et al.,2026,Nature Communications,10.1038/s41467-026-72927-2,RNA-seq; proteomics; metabolomics,yes,yes,brain (TNBC),FUSCC medical oncology,primary vs BrM,yes,NGDC PRJCA032856,NOT Shao/Jiang lab; Zhang Jian / Hu Xichun
D,scRNA_bone,GSE190772,GEO GSE190772,NA,dataset,GSE190772,scRNA-seq,no,yes,bone,2,2 bone mets,no,GEO GSE190772,Bone mets only
E,primary_with_outcome_not_met_tissue,GSE2603,Minn et al.,2005,Nature,GSE2603,microarray primary,yes,no,lung/bone as follow-up events,MSK primary cohort,primaries,no,GEO GSE2603,Do not treat as metastatic tissue
E,primary_with_outcome_not_met_tissue,GSE5327,Erasmus ER- lung-met outcome,2007,dataset,GSE5327,microarray primary,yes,no,lung as follow-up,ER- primaries,primaries,no,GEO GSE5327,Do not treat as metastatic tissue
E,primary_with_outcome_not_met_tissue,Cimas_TNBC_CNS,Cimas et al.,2019,ecancer,10.3332/ecancer.2019.891,PRM proteomics of primaries,yes,no,CNS as later event,51 TNBC primaries,primaries,no,Panorama PRM,No brain-met tissue
E,primary_only,TCGA_CPTAC_BRCA,TCGA / CPTAC,NA,consortia,NA,RNA / proteomics,yes,almost never,NA,large,primaries,no,GDC / PDC,Do not use as paired distant-met tissue
