gene,P01,P02,P03,P04,P05,P06,P07,P08,P09,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20
NTRK1,10.150,10.139,10.161,10.446,10.155,9.676,8.133,7.893,7.913,8.046,8.093,8.465,10.430,8.044,9.942,7.594,8.099,8.524,10.215,7.957
NTRK2,10.686,9.991,10.391,10.672,10.806,10.416,8.451,8.399,8.613,7.855,8.527,7.694,9.583,8.057,10.179,8.650,8.566,7.812,10.797,7.899
NTRK3,10.770,10.697,10.840,11.087,11.023,10.922,8.860,8.791,8.349,8.313,8.412,8.800,10.712,9.534,10.513,8.160,8.907,9.169,10.977,8.934
NGF,11.599,11.067,10.602,10.914,11.434,10.595,8.913,9.001,8.774,9.189,9.132,9.829,11.317,8.656,10.903,8.567,9.281,8.673,11.075,9.200
BDNF,11.147,11.297,10.756,11.021,11.201,11.546,9.677,9.193,9.305,9.267,9.634,9.557,11.496,8.796,11.716,9.352,9.691,9.188,12.084,9.056
NTF3,10.758,10.240,10.019,9.805,10.147,10.698,8.327,8.276,7.050,8.284,8.222,7.780,9.980,7.999,10.804,7.578,7.829,8.545,10.044,7.854
NGFR,10.534,10.066,10.577,10.077,10.810,10.501,9.213,8.412,8.846,7.779,8.251,8.429,11.111,7.628,10.847,8.537,8.913,8.585,10.518,8.091
SNAP25,10.363,10.868,10.733,11.507,10.586,10.912,7.972,8.442,8.704,8.930,9.179,8.582,10.409,8.783,10.981,8.797,8.320,9.053,10.831,8.880
SYP,11.546,11.313,11.200,11.853,11.185,10.996,8.945,9.493,8.947,9.108,9.378,8.695,10.496,9.020,11.180,8.657,9.248,9.143,10.752,9.107
DLG4,11.331,10.881,11.559,11.384,11.139,11.583,9.395,8.969,9.360,9.606,8.915,9.352,11.401,10.106,10.748,9.478,9.078,9.160,12.066,9.197
GRIN1,10.984,10.045,10.323,10.028,9.958,10.222,7.887,8.081,7.158,8.801,7.933,8.697,9.848,8.117,11.308,7.652,7.402,7.781,10.365,8.277
GRIA1,10.952,10.410,9.939,10.348,10.934,10.663,7.517,8.286,8.859,9.151,8.525,8.424,10.066,7.963,10.516,8.501,8.532,8.109,10.097,7.989
GABRA1,10.395,11.025,9.991,10.683,10.957,11.333,8.629,9.001,8.440,8.302,8.330,9.211,11.148,8.795,11.966,8.587,8.848,8.723,10.722,9.526
TH,11.627,10.610,10.960,11.250,11.374,10.628,7.998,8.137,8.872,8.859,9.038,8.592,10.672,8.091,11.215,9.048,9.297,9.216,11.033,9.440
SLC6A3,11.352,11.169,11.218,11.195,10.642,11.455,9.300,9.055,8.914,9.349,9.887,9.215,11.222,8.963,11.376,8.694,9.150,9.224,12.046,9.577
CHAT,10.562,9.950,10.434,9.801,10.309,10.347,7.693,8.800,8.227,7.239,8.221,7.837,10.200,8.186,10.337,7.184,7.537,8.309,10.655,8.761
SLC18A3,11.131,9.781,10.769,9.829,11.065,10.589,7.844,9.104,8.558,7.544,8.417,8.008,10.539,8.114,10.981,7.731,8.427,9.026,10.211,8.384
SEMA3A,10.871,10.559,11.027,10.834,10.470,11.417,8.917,8.533,8.345,8.286,9.092,8.541,10.961,8.526,11.016,8.554,8.906,8.527,11.090,8.869
ROBO1,11.059,10.799,10.771,10.841,10.755,11.403,8.881,9.528,9.812,8.910,8.281,8.747,11.074,8.305,11.012,9.015,8.716,8.593,10.834,9.615
DCC,11.344,11.110,11.269,11.734,11.160,11.569,9.491,9.500,9.760,8.980,9.653,8.883,11.261,9.678,11.688,9.201,8.723,9.425,11.179,8.830
EPHA4,9.973,10.286,9.458,10.326,10.261,9.995,8.415,8.245,7.757,7.732,8.278,7.394,10.084,7.748,10.224,8.084,8.015,8.454,10.280,7.874
EFNB2,10.076,10.753,10.685,11.008,10.238,10.509,8.277,8.265,8.304,7.614,8.630,8.561,10.896,9.200,10.388,8.286,8.304,9.077,9.894,8.494
NTN1,10.285,9.896,10.093,10.316,11.174,10.496,8.509,8.135,8.844,8.159,9.127,8.203,10.532,8.649,10.809,9.170,8.648,8.117,10.604,8.371
GAPDH,9.190,9.054,8.852,9.248,8.689,8.846,8.972,9.511,8.861,8.760,8.482,9.174,8.665,9.037,8.139,9.317,8.367,8.589,9.323,8.366
ACTB,9.168,9.230,8.801,9.737,9.800,8.411,8.620,9.523,8.679,9.045,9.252,9.477,9.111,9.238,8.889,9.717,9.002,9.336,8.995,9.243
RPLP0,7.933,7.935,7.594,8.319,8.566,8.097,8.293,8.335,8.371,8.121,8.085,8.346,8.028,7.610,8.010,7.245,7.998,8.165,8.494,8.061
B2M,8.671,8.300,7.891,7.735,7.912,7.754,8.553,8.217,8.528,8.329,8.718,8.724,8.042,8.190,8.087,7.651,8.570,8.776,8.297,8.103
TUBB,9.036,7.662,8.671,8.657,8.372,9.157,8.988,8.496,8.565,8.445,8.395,8.077,9.152,9.011,8.919,8.162,9.432,9.392,8.675,8.238
HPRT1,8.553,9.067,8.535,8.886,9.335,8.297,9.702,9.527,8.405,8.335,8.787,8.488,8.795,7.868,8.809,9.621,8.453,8.791,8.304,9.155
PPIA,9.110,9.976,9.283,9.051,9.420,8.998,8.664,9.321,9.130,9.267,9.350,8.996,9.369,9.895,8.757,9.895,9.103,8.893,10.171,9.262
GUSB,8.548,8.327,7.328,8.048,7.790,7.463,7.291,8.041,8.236,8.156,7.878,7.681,7.605,7.778,7.587,7.919,7.991,7.642,7.907,7.696
SAA1,8.298,8.503,8.371,8.489,7.639,8.149,8.411,8.556,7.661,8.364,8.783,8.229,8.262,8.480,8.399,8.570,8.329,8.361,7.987,8.232
SAA2,9.101,8.518,8.533,8.403,8.915,8.258,8.964,8.225,8.177,8.682,8.652,8.719,9.025,8.435,8.777,8.236,9.104,8.853,8.815,8.675
CCL2,8.586,8.769,9.101,8.892,8.949,8.356,8.972,8.623,8.467,8.838,8.157,9.179,9.241,8.879,8.502,8.522,8.840,7.931,8.972,9.166
IL6,9.075,9.002,9.273,9.340,9.638,9.207,8.924,9.015,9.273,9.822,9.072,8.779,8.852,8.361,9.332,8.655,8.707,8.410,8.753,9.427
TNF,7.475,7.300,8.071,7.864,8.173,8.296,7.997,7.481,7.950,8.200,7.767,7.425,8.441,7.834,7.836,8.006,8.412,8.105,7.867,8.273
MYC,9.159,8.855,8.569,7.851,9.801,7.821,8.151,8.020,8.951,8.468,7.729,8.407,8.519,8.173,7.812,8.010,8.125,8.309,8.092,8.594
TP53,8.220,7.907,8.304,9.140,8.371,9.536,8.797,8.134,8.266,8.697,8.129,9.550,8.204,8.872,9.184,8.556,8.202,8.491,8.745,8.950
BRCA1,8.923,8.340,8.917,8.631,8.027,8.621,8.327,9.135,9.678,9.644,8.671,8.713,9.176,9.325,8.733,8.843,9.783,8.857,8.706,8.948
ESR1,9.432,8.791,9.101,8.733,9.089,9.951,9.497,9.163,8.827,9.075,9.620,8.975,9.780,8.651,9.084,9.897,8.397,9.675,8.459,9.164
PGR,7.931,8.330,6.738,7.233,7.774,8.015,7.643,7.912,7.526,7.839,7.661,8.098,8.233,8.573,7.737,7.873,8.019,7.882,7.979,7.375
ERBB2,8.449,7.934,7.917,7.665,8.764,8.244,8.760,8.409,7.619,7.867,8.603,7.994,7.864,8.228,8.229,7.895,8.170,8.109,7.264,8.501
