priority,accession,repository,data_type,model,injection,primary_tissue,lung,bone,liver,brain,lymph_node,paper,doi_or_url,n_samples,notes
1,GSE165393,GEO,bulk RNA-seq + scRNA-seq,MMTV-PyMT,spontaneous GEMM,yes,yes,bone_marrow_derived,no,no,yes,Transcriptome analysis of heterogeneity in mouse model of metastatic breast cancer (Breast Cancer Research 2021),https://doi.org/10.1186/s13058-021-01468-x,17,Best primary-plus-multi-organ RNA-seq; organ-derived cell isolates not bulk whole tissue
1,E-MTAB-16621,ArrayExpress,scRNA-seq 10x,VO-PyMT,intracardiac,no,yes,yes,yes,yes,no,Single-cell profiling of synchronous multi-organ metastasis (bioRxiv 2026),https://doi.org/10.64898/2026.01.31.701004,11 tissues / ~73051 cells,Best four-organ atlas; experimental metastasis; no mammary primary
1,GSE252507,GEO,scRNA-seq niche labeling,4T1/MVT1 TNBC,orthotopic spontaneous,limited,yes,no,yes,no,no,Charting the liver and lung metastatic niche in breast cancer (bioRxiv 2024),https://doi.org/10.1101/2024.10.04.616491,12,Tumor cells plus proximal niche in lung vs liver
2,GSE146012,GEO,bulk mRNA-seq sorted GFP+ tumor cells,4T1 BALB/c,MFP and tail vein,yes,yes,no,no,no,no,So et al. Cancer Research 2020 DNMT3B/PGE2/IL6,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE146012,8,Processed counts in GEO supplementary files
2,GSE146010,GEO,ChIP-seq DNMT3B,4T1 lung mets,MFP/TVI,no,yes,no,no,no,no,Same paper as GSE146012,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE146010,4,Epigenetic companion to lung RNA-seq
2,GSE37975,GEO,microarray Affymetrix 430 2.0,4T1.2,orthotopic spontaneous bone met,yes,no,yes,no,no,no,Bidwell et al. Nature Medicine 2012 Irf7,https://doi.org/10.1038/nm.2830,8,Matched primary vs bone from same mouse; 4 pairs
2,GSE241165,GEO,SMART-seq2 scRNA-seq,4T1 and 4T1.2,intracardiac plus MFP control,yes,no,yes,no,no,no,Lymphotoxin-beta promotes bone colonization (bioRxiv 2023),https://doi.org/10.1101/2023.08.15.553179,1248,In vitro + primary + bone D4/D10/D16
2,GSE238214,GEO,microarray LCM,4T1-2776/2792 liver-tropic,MFP primary; splenic liver mets,yes,no,no,yes,no,no,Metabolic reprogramming / GSH in liver mets,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11321393/,64,Core/margin/adjacent/distant time course
2,GSE54773,GEO,microarray,4T1-T2/LM2/BM2,orthotopic selection then cell lines,cell_line,cell_line,no,no,cell_line,no,Connexins orchestrate brain metastasis (Sci Transl Med 2020),https://doi.org/10.1126/scitranslmed.aax8933,9,Primary vs lung vs brain derived lines cultured in vitro
2,PXD055261,PRIDE,EV proteomics LC-MS/MS,4T1 organotropic family,cell culture secretome,parental_line,yes,yes,yes,yes,no,EV DNA and proteins from organotropic metastatic breast cancer cells (J Exp Clin Cancer Res 2025),https://doi.org/10.1186/s13046-025-03418-3,698 proteins,~NMuMG/67NR/4T1 plus lung/bone/liver/brain derivatives
3,GSE273439,GEO,Visium spatial FFPE,4T1,MFP 28 days,yes,yes,no,no,no,no,Stromal metastatic gene signature via spatial profiling,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE273439,4,Matched primary tumor and lung sections
3,GSE131508,GEO,bulk RNA niche vs distal lung,Labelling-4T1 Cherry-niche,experimental/orthotopic lung,no,yes,no,no,no,no,Ombrato et al. Nature 2019,https://doi.org/10.1038/s41586-019-1487-6,2,Niche parenchyma not tumor cells
3,GSE318532,GEO,Visium spatial fresh frozen,4T1,MFP,no,yes,no,no,no,no,AT2 FASN/GPAM lipid support of lung mets,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE318532,2,Metastatic vs control lung
3,GSE160101,GEO,bulk RNA-seq cell lines,67NR/66cl4/4T1/4T1.2,in vitro,cell_line,cell_line,cell_line,no,no,no,Bone marrow vascular remodeling companion,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE160101,8,Isogenic 4T1 family
3,GSE160100,GEO,bulk RNA-seq endothelium,4T1.2,intracardiac,no,no,yes,no,no,no,Metastasis-associated bone marrow endothelial cells,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE160100,11,Stroma not tumor
3,GSE160102,GEO,SuperSeries RNA-seq,4T1 family + BM endothelium,mixed,mixed,mixed,yes,no,no,no,Combines GSE160101 and GSE160100,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE160102,19,Use subseries
3,GSE168181,GEO,scRNA-seq,murine LN metastasis model,spontaneous,yes,no,no,no,no,yes,Cancer cell heterogeneity in LN metastasis,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE168181,6,Primary vs tumor-draining LN
3,PXD005860,PRIDE,tissue proteomics,MMTV-PyMT CTSB/CTSL,spontaneous,no,yes,no,no,no,no,Lung metastasis proteome CTSB vs CTSL,https://www.omicsdi.org/dataset/pride/PXD005860,lung mets,Not primary vs met
3,PLOS_ONE_2015_4T1_lung_proteome,publication,tissue proteomics,4T1,MFP,no,yes,no,no,no,no,Differential proteome TGF-beta 4T1 lung mets,https://doi.org/10.1371/journal.pone.0126483,6694 proteins,Vehicle vs SB-431542 lung mets
