GO_ID	symbol
GO:0000278	A0A024R0C8
GO:0000278	RHOA
GO:0000278	MNAT1
GO:0000278	BABAM2
GO:0000278	TACC3
GO:0000278	CHMP2B
GO:0000278	CCNB2
GO:0000278	NBN
GO:0000278	CENPW
GO:0000278	SKP2
GO:0000278	CUL2
GO:0000278	MDM2
GO:0000278	MAP9
GO:0000278	TACC1
GO:0000278	FOXM1
GO:0000278	HSPA1B
GO:0000278	BRINP3
GO:0000278	BTC
GO:0000278	CLASP2
GO:0000278	TACC2
GO:0000278	RNF103-CHMP3
GO:0000278	BRSK2
GO:0000278	A0A140VKB1
GO:0000278	A0A140VKF1
GO:0000278	RRM2
GO:0000278	ZFYVE26
GO:0000278	CHAMP1
GO:0000278	A0A3B3IT44
GO:0000278	KIF18B
GO:0000278	TGFB1
GO:0000278	CUL1
GO:0000278	BUB1
GO:0000278	CEP126
GO:0000278	CUL7
GO:0000278	CHMP1A
GO:0000278	KIF2A
GO:0000278	A0A6Q8PFP0
GO:0000278	PAFAH1B1
GO:0000278	CCND2
GO:0000278	SNX9
GO:0000278	DYNC1H1
GO:0000278	DCDC1
GO:0000278	MTMR4
GO:0000278	CENPI
GO:0000278	NCAPD3
GO:0000278	CLASP1
GO:0000278	A0A994J514
GO:0000278	VPS4A
GO:0000278	CDK10
GO:0000278	MAD1L1
GO:0000278	NSFL1C
GO:0000278	SPICE1
GO:0000278	SNX18
GO:0000278	APPL1
GO:0000278	MIIP
GO:0000278	EML3
GO:0000278	APPL2
GO:0000278	EML4
GO:0000278	VPS4B
GO:0000278	TAOK1
GO:0000278	CCNB1
GO:0000278	PRKCB
GO:0000278	CIT
GO:0000278	KATNB1
GO:0000278	KIF4A
GO:0000278	PRKCA
GO:0000278	NCAPG
GO:0000278	XPC
GO:0000278	CUL9
GO:0000278	NUSAP1
GO:0000278	NSL1
GO:0000278	CHMP2A
GO:0000278	RRM2B
GO:0000278	PLK3
GO:0000278	CDC25A
GO:0000278	ZW10
GO:0000278	NCAPH
GO:0000278	ANAPC4
GO:0000278	TPX2
GO:0000278	CUL3
GO:0000278	CHMP5
GO:0000278	KIF2C
GO:0000278	MTMR3
GO:0000278	WAPL
GO:0000278	UBXN2B
GO:0000278	POLA1
GO:0000278	BUB1B
GO:0000278	CDC25C
GO:0000278	CCNA2
GO:0000278	CHMP7
GO:0000278	CHMP4B
GO:0000278	USP16
GO:0000278	AURKA
GO:0000278	BRINP2
GO:0000278	CHMP4A
GO:0000278	ZWILCH
GO:0000278	CEP55
GO:0000278	TAOK2
GO:0000278	RAD51
GO:0000278	LATS1
GO:0000278	UBE2S
GO:0000278	KIF15
GO:0000278	CDK4
GO:0000278	WEE1
GO:0000278	RHOC
GO:0000278	MAD2L1BP
GO:0000278	KIF18A
GO:0000278	SPDL1
GO:0000278	NCAPD2
GO:0000278	NDC80
GO:0000278	TICRR
