gene,mitochondrial,mtdna_encoded,reference_only,mean_log_expr_training,clamp_delta,score_emt,score_migration_independent,score_invasion_independent,score_epithelial,z_emt,z_migration_independent,z_invasion_independent,z_epithelial,z_combined,z_combined_count_only,z_combined_quintile,z_combined_half_a,z_combined_half_b,p_empirical,fdr_bh,spearman_with_epithelial_state,direction_primary,direction_count_only,direction_quintile,stable_halves,called
HSPE1,True,False,False,1.3811568597470432,-1.164867695920717,0.08887480501063472,0.0445575775219758,0.07889551022415278,0.07147580577182167,3.9236719358976617,4.433184321245222,4.149688931960538,3.496802929440084,9.009742259663337,9.089430456393762,6.91623918937934,8.914145284335092,9.250091434196275,0.0018610421836228288,0.7847597600646542,0.3042057089188433,False,False,False,True,False
HSP90AA1,True,False,False,2.0483923853723156,-0.9563426719892258,0.07576072253492373,0.03914403785083242,0.0685991044091859,0.052312058261034924,3.312443096278618,3.8475163887159187,3.569412822239872,2.5012180437076923,8.228154263526715,8.266236935158776,7.405924149581949,8.332624869473012,8.20228589971616,0.0037220843672456576,0.7847597600646542,0.34817463454653896,False,False,False,True,False
HSPD1,True,False,False,1.3320733778380496,-1.1585349775118279,0.08557574890073791,0.033198901044437956,0.06485097265240501,0.047603769843868715,3.769907595797992,3.204337213256119,3.3581787903232403,2.2566155314296994,8.075808067947651,8.069683042841781,6.07701305484887,8.047646617227656,8.050372019279635,0.004342431761786601,0.7847597600646542,0.3305912265859724,False,False,False,True,False
STOML2,True,False,False,1.0791734490227465,-1.0252962738314328,0.06250389596469516,0.029218628888340592,0.05779530627472193,0.05106263931465252,2.694561156267987,2.7737284237812014,2.960541526339583,2.436308890721521,5.992522215667251,6.022893927130829,4.505845037170083,6.23882816574679,5.7255319431804,0.013647642679900745,0.7847597600646542,0.25551783446281273,False,False,False,True,False
CYCS,True,False,False,0.9681670506296609,-0.9634589707532903,0.058934254767124494,0.03196726777095714,0.05849326605844304,0.058901523661113564,2.528185227865176,3.071092024944521,2.999876552106578,2.843550468703492,5.755603336212783,5.79439543456966,5.319678812625342,5.437473546037418,6.0863300071076925,0.016749379652605458,0.7847597600646542,0.2262489090847795,False,False,False,True,False
MRPL12,True,False,False,0.9238311053405376,-0.9088677953552311,0.06399483108453269,0.02755247757686207,0.051371043477750636,0.04847551430501089,2.764051533877967,2.5934745689741274,2.598488370059466,2.301903939098688,5.654110533812872,5.6639843658975515,5.264161937115267,5.720026998090797,5.58351365017054,0.016749379652605458,0.7847597600646542,0.28478319053161544,False,False,False,True,False
TIMM13,True,False,False,1.504541146660893,-0.864990926936019,0.06500672825254296,0.028040506207358866,0.052865686356039346,0.05267170749232597,2.8112146299590126,2.646272319872995,2.6827221862494177,2.5199023505551446,5.620306785526282,5.639763425214232,5.089370528316652,5.663222764487684,5.531155483403439,0.016749379652605458,0.7847597600646542,0.3077981998816908,False,False,False,True,False
C1QBP,True,False,False,1.178587593952426,-1.0230515966676155,0.06627410107636023,0.025340356263010136,0.045099632637422754,0.039897341933771036,2.870285085090075,2.3541545316067767,2.245049514765359,1.8562552602478266,5.613233871214384,5.633988451631875,4.2575073714642695,5.555572783582995,5.580334066953946,0.016749379652605458,0.7847597600646542,0.3167622595230578,False,False,False,True,False
MRPS12,True,False,False,1.0217360810564893,-0.9572888702245091,0.053834335573213404,0.025384174569042656,0.05339186152955731,0.04804669427267065,2.2904852060131966,2.3588950485808735,2.7123759205920153,2.279626107340734,5.082130067845352,5.0747918900342,4.08940823450298,4.721294820259725,5.42306093572199,0.02295285359801489,0.7847597600646542,0.21952820770966838,False,False,False,True,False
TOMM40,True,False,False,0.7923839499478521,-0.8156701126903151,0.05692474509557724,0.027168149215253738,0.04923329164927705,0.050709905556878127,2.4345248237142956,2.5518957110310794,2.4780107648769154,2.4179838529004942,5.046447446721796,5.080844213033184,5.607622951764856,4.7349459801390985,5.415273462991994,0.02357320099255583,0.7847597600646542,0.2572756254017084,False,False,False,True,False
CYC1,True,False,False,0.9621159353812901,-0.9298654759400304,0.05506325163823584,0.021599323440323247,0.03574229343682424,0.02666846052589996,2.3477632459983875,1.949428032516665,1.7176965251651266,1.1689954026751153,4.845892401005064,4.95845712250048,4.2929645058068004,5.146328294366731,4.574468555596218,0.026674937965260544,0.7847597600646542,0.26703958225283997,False,False,False,True,False
CHCHD2,True,False,False,2.288013108079851,-0.5952331735088736,0.0480587691874349,0.02253365985496727,0.04125040561922763,0.030706914749111837,2.0212942239783853,2.0505099326213765,2.028118041813588,1.3787990428080692,4.72112315560528,4.740896152783904,4.755372284334784,4.729925646417343,4.171829996366582,0.02729528535980149,0.7847597600646542,0.25637739640351426,False,False,False,True,False
GCSH,True,False,False,0.8367133608584527,-0.838505064790617,0.05208573947199535,0.021481689065700138,0.04297683073037236,0.03899950804531278,2.2089856144184785,1.9367016676675934,2.1254144445799694,1.809611468434965,4.461490258231077,4.457845866662413,4.3765474732641865,4.425165767629734,4.47305147408494,0.02977667493796526,0.7847597600646542,0.29099839095592933,False,False,False,True,False
MRPL57,True,False,False,0.9558259396265376,-0.9260979304574974,0.05654305759901583,0.022178655740310266,0.041103841596174126,0.04328576244910799,2.4167349092423964,2.0121035407778214,2.0198581108579843,2.0322886926271777,4.416407868251024,4.380714556134243,3.8205147016362315,4.467691911493791,4.335570905693592,0.03163771712158809,0.7847597600646542,0.24690082849101572,False,False,False,True,False
